symbol,start_date,end_date
AIZ,2020-01-01,2025-07-10
AJG,2020-01-01,2025-07-10
AKAM,2020-01-01,2025-07-10
AKO-A,2020-01-01,2025-07-10
AKREX,2020-01-01,2025-07-10
AKRIX,2020-01-01,2025-07-10
AKRSX,2020-01-01,2025-07-10
AKYA,2020-01-01,2025-07-10
ALAFX,2020-01-01,2025-07-10
ALB,2020-01-01,2025-07-10
ALBAX,2020-01-01,2025-07-10
ALBCX,2020-01-01,2025-07-10
ALCFX,2020-01-01,2025-07-10
ALCKX,2020-01-01,2025-07-10
ALGN,2020-01-01,2025-07-10
ALGRX,2020-01-01,2025-07-10
ALGYX,2020-01-01,2025-07-10
ALK,2020-01-01,2025-07-10
ALKS,2020-01-01,2025-07-10
ALL,2020-01-01,2025-07-10
ALLE,2020-01-01,2025-07-10
ALLIX,2020-01-01,2025-07-10
ALLT,2020-01-01,2025-07-10
ALLY,2020-01-01,2025-07-10
ALTFX,2020-01-01,2025-07-10
ALV,2020-01-01,2025-07-10
ALZFX,2020-01-01,2025-07-10
AMAGX,2020-01-01,2025-07-10
AMAT,2020-01-01,2025-07-10
AMBA,2020-01-01,2025-07-10
AMBC,2020-01-01,2025-07-10
AMCR,2020-01-01,2025-07-10
AMCX,2020-01-01,2025-07-10
AMD,2020-01-01,2025-07-10
AME,2020-01-01,2025-07-10
AMG,2020-01-01,2025-07-10
AMGN,2020-01-01,2025-07-10
AMIGX,2020-01-01,2025-07-10
AMKR,2020-01-01,2025-07-10
AMLX,2020-01-01,2025-07-10
AMP,2020-01-01,2025-07-10
AMPH,2020-01-01,2025-07-10
AMPX,2020-01-01,2025-07-10
AMT,2020-01-01,2025-07-10
AMWD,2020-01-01,2025-07-10
AMZN,2020-01-01,2025-07-15
ANF,2020-01-01,2025-07-10
ANGO,2020-01-01,2025-07-10
ANIK,2020-01-01,2025-07-10
ANOAX,2020-01-01,2025-07-10
ANODX,2020-01-01,2025-07-10
ANOGX,2020-01-01,2025-07-10
ANOHX,2020-01-01,2025-07-10
ANOIX,2020-01-01,2025-07-10
ANONX,2020-01-01,2025-07-10
ANORX,2020-01-01,2025-07-10
ANOYX,2020-01-01,2025-07-10
ANSS,2020-01-01,2025-07-10
ANVS,2020-01-01,2025-07-10
AOD,2020-01-01,2025-07-10
AON,2020-01-01,2025-07-10
AOS,2020-01-01,2025-07-10
APA,2020-01-01,2025-07-10
APD,2020-01-01,2025-07-10
APDDX,2020-01-01,2025-07-10
APDGX,2020-01-01,2025-07-10
APDJX,2020-01-01,2025-07-10
APDKX,2020-01-01,2025-07-10
APDTX,2020-01-01,2025-07-10
APDYX,2020-01-01,2025-07-10
APFDX,2020-01-01,2025-07-10
APGAX,2020-01-01,2025-07-10
APGCX,2020-01-01,2025-07-10
APGYX,2020-01-01,2025-07-10
APGZX,2020-01-01,2025-07-10
APH,2020-01-01,2025-07-10
APHDX,2020-01-01,2025-07-10
APHGX,2020-01-01,2025-07-10
APHJX,2020-01-01,2025-07-10
APHKX,2020-01-01,2025-07-10
APHTX,2020-01-01,2025-07-10
APHYX,2020-01-01,2025-07-10
API,2020-01-01,2025-07-10
APLD,2020-01-01,2025-07-10
APLE,2020-01-01,2025-07-10
APO,2020-01-01,2025-07-10
APP,2020-01-01,2025-07-10
APSGX,2020-01-01,2025-07-10
APSRX,2020-01-01,2025-07-10
APTV,2020-01-01,2025-07-10
APYX,2020-01-01,2025-07-10
AQN,2020-01-01,2025-07-10
ARAY,2020-01-01,2025-07-10
ARCC,2020-01-01,2025-07-10
ARE,2020-01-01,2025-07-10
ARINX,2020-01-01,2025-07-10
ARIS,2020-01-01,2025-07-10
ARM,2020-01-01,2025-07-10
ARQT,2020-01-01,2025-07-10
ARTGX,2020-01-01,2025-07-10
ARTJX,2020-01-01,2025-07-10
ARTKX,2020-01-01,2025-07-10
ARTTX,2020-01-01,2025-07-10
ARTYX,2020-01-01,2025-07-10
ASDEX,2020-01-01,2025-07-10
ASERX,2020-01-01,2025-07-10
ASHAX,2020-01-01,2025-07-10
ASHCX,2020-01-01,2025-07-10
ASHIX,2020-01-01,2025-07-10
ASHSX,2020-01-01,2025-07-10
ASLGX,2020-01-01,2025-07-10
ASLWX,2020-01-01,2025-07-10
ASMIY,2020-01-01,2025-07-10
ASML,2020-01-01,2025-07-10
ASMVF,2020-01-01,2025-07-10
ASMXF,2020-01-01,2025-07-10
ASTS,2020-01-01,2025-07-10
ASX,2020-01-01,2025-07-10
ASYS,2020-01-01,2025-07-10
ATECX,2020-01-01,2025-07-10
ATEYX,2020-01-01,2025-07-10
ATEYY,2020-01-01,2025-07-10
ATEZX,2020-01-01,2025-07-10
ATHAX,2020-01-01,2025-07-10
ATHDX,2020-01-01,2025-07-10
ATHGX,2020-01-01,2025-07-10
ATHIX,2020-01-01,2025-07-10
ATHWX,2020-01-01,2025-07-10
ATHYX,2020-01-01,2025-07-10
ATOM,2020-01-01,2025-07-10
ATUS,2020-01-01,2025-07-10
AUERX,2020-01-01,2025-07-10
AULDX,2020-01-01,2025-07-10
AULGX,2020-01-01,2025-07-10
AULNX,2020-01-01,2025-07-10
AULRX,2020-01-01,2025-07-10
AULYX,2020-01-01,2025-07-10
AUNA,2020-01-01,2025-07-10
AUR,2020-01-01,2025-07-10
AVB,2020-01-01,2025-07-10
AVGO,2020-01-01,2025-07-10
AVIR,2020-01-01,2025-07-10
AVY,2020-01-01,2025-07-10
AWEIX,2020-01-01,2025-07-10
AWIIX,2020-01-01,2025-07-10
AWK,2020-01-01,2025-07-10
AX,2020-01-01,2025-07-10
AXP,2020-01-01,2025-07-10
AXS,2020-01-01,2025-07-10
AXTI,2020-01-01,2025-07-10
AXVIX,2020-01-01,2025-07-10
AXVNX,2020-01-01,2025-07-10
AYI,2020-01-01,2025-07-10
AZO,2020-01-01,2025-07-10
BA,2020-01-01,2025-07-10
BABA,2020-01-01,2025-07-10
BAC,2020-01-01,2025-07-10
BALY,2020-01-01,2025-07-10
BAND,2020-01-01,2025-07-10
BARAX,2020-01-01,2025-07-10
BARIX,2020-01-01,2025-07-10
BARUX,2020-01-01,2025-07-10
BAX,2020-01-01,2025-07-10
BB,2020-01-01,2025-07-10
BBD,2020-01-01,2025-07-10
BBGLX,2020-01-01,2025-07-10
BBHLX,2020-01-01,2025-07-10
BBUC,2020-01-01,2025-07-10
BBVA,2020-01-01,2025-07-10
BBY,2020-01-01,2025-07-10
BCAAX,2020-01-01,2025-07-10
BCGDX,2020-01-01,2025-07-10
BCGIX,2020-01-01,2025-07-10
BCH,2020-01-01,2025-07-10
BCS,2020-01-01,2025-07-10
BCSFX,2020-01-01,2025-07-10
BCSVX,2020-01-01,2025-07-10
BDAFX,2020-01-01,2025-07-10
BDAIX,2020-01-01,2025-07-10
BDAUX,2020-01-01,2025-07-10
BDFFX,2020-01-01,2025-07-10
BDFIX,2020-01-01,2025-07-10
BDFUX,2020-01-01,2025-07-10
BDX,2020-01-01,2025-07-10
BE,2020-01-01,2025-07-10
BEKE,2020-01-01,2025-07-10
BEN,2020-01-01,2025-07-10
BESIX,2020-01-01,2025-07-10
BESIY,2020-01-01,2025-07-10
BFGFX,2020-01-01,2025-07-10
BFGIX,2020-01-01,2025-07-10
BFGUX,2020-01-01,2025-07-10
BG,2020-01-01,2025-07-10
BGGCX,2020-01-01,2025-07-10
BGISX,2020-01-01,2025-07-10
BGLSX,2020-01-01,2025-07-10
BGRFX,2020-01-01,2025-07-10
BGRIX,2020-01-01,2025-07-10
BGRSX,2020-01-01,2025-07-10
BGRUX,2020-01-01,2025-07-10
BGS,2020-01-01,2025-07-10
BGSAX,2020-01-01,2025-07-10
BGSCX,2020-01-01,2025-07-10
BGSIX,2020-01-01,2025-07-10
BGSRX,2020-01-01,2025-07-10
BHC,2020-01-01,2025-07-10
BHCFX,2020-01-01,2025-07-10
BHCHX,2020-01-01,2025-07-10
BHCUX,2020-01-01,2025-07-10
BHF,2020-01-01,2025-07-10
BHR,2020-01-01,2025-07-10
BHR-PB,2020-01-01,2025-07-10
BHR-PD,2020-01-01,2025-07-10
BHSRX,2020-01-01,2025-07-10
BHYAX,2020-01-01,2025-07-10
BHYCX,2020-01-01,2025-07-10
BHYIX,2020-01-01,2025-07-10
BHYRX,2020-01-01,2025-07-10
BHYSX,2020-01-01,2025-07-10
BIAVX,2020-01-01,2025-07-10
BIEAX,2020-01-01,2025-07-10
BIECX,2020-01-01,2025-07-10
BIERX,2020-01-01,2025-07-10
BIGFX,2020-01-01,2025-07-10
BIGUX,2020-01-01,2025-07-10
BIIB,2020-01-01,2025-07-10
BIIEX,2020-01-01,2025-07-10
BILI,2020-01-01,2025-07-10
BINIX,2020-01-01,2025-07-10
BIOIX,2020-01-01,2025-07-10
BIOPX,2020-01-01,2025-07-10
BIOUX,2020-01-01,2025-07-10
BIPIX,2020-01-01,2025-07-10
BIPSX,2020-01-01,2025-07-10
BISCX,2020-01-01,2025-07-10
BISIX,2020-01-01,2025-07-10
BIVIX,2020-01-01,2025-07-10
BIVRX,2020-01-01,2025-07-10
BIVSX,2020-01-01,2025-07-10
BJRI,2020-01-01,2025-07-10
BK,2020-01-01,2025-07-10
BKD,2020-01-01,2025-07-10
BKR,2020-01-01,2025-07-10
BLFY,2020-01-01,2025-07-10
BLK,2020-01-01,2025-07-10
BLND,2020-01-01,2025-07-10
BLUEX,2020-01-01,2025-07-10
BLX,2020-01-01,2025-07-10
BMA,2020-01-01,2025-07-10
BMDIX,2020-01-01,2025-07-10
BMDSX,2020-01-01,2025-07-10
BMY,2020-01-01,2025-07-10
BNSCX,2020-01-01,2025-07-10
BOSOX,2020-01-01,2025-07-10
BP,2020-01-01,2025-07-10
BPAIX,2020-01-01,2025-07-10
BPAVX,2020-01-01,2025-07-10
BPGIX,2020-01-01,2025-07-10
BPTIX,2020-01-01,2025-07-10
BPTRX,2020-01-01,2025-07-10
BPTUX,2020-01-01,2025-07-10
BREAX,2020-01-01,2025-07-10
BRECX,2020-01-01,2025-07-10
BREFX,2020-01-01,2025-07-10
BREIX,2020-01-01,2025-07-10
BREKX,2020-01-01,2025-07-10
BREUX,2020-01-01,2025-07-10
BRHYX,2020-01-01,2025-07-10
BRIIX,2020-01-01,2025-07-10
BRIUX,2020-01-01,2025-07-10
BROS,2020-01-01,2025-07-10
BRSP,2020-01-01,2025-07-10
BRSVX,2020-01-01,2025-07-10
BRUSX,2020-01-01,2025-07-10
BRWIX,2020-01-01,2025-07-10
BRXAX,2020-01-01,2025-07-10
BRXBX,2020-01-01,2025-07-10
BRXCX,2020-01-01,2025-07-10
BRXIX,2020-01-01,2025-07-10
BRXRX,2020-01-01,2025-07-10
BRXSX,2020-01-01,2025-07-10
BRXTX,2020-01-01,2025-07-10
BRXUX,2020-01-01,2025-07-10
BRXVX,2020-01-01,2025-07-10
BSBR,2020-01-01,2025-07-10
BSGIX,2020-01-01,2025-07-10
BSPAX,2020-01-01,2025-07-10
BSPGX,2020-01-01,2025-07-10
BSPIX,2020-01-01,2025-07-10
BSPPX,2020-01-01,2025-07-10
BSPSX,2020-01-01,2025-07-10
BSTSX,2020-01-01,2025-07-10
BSX,2020-01-01,2025-07-10
BTBFX,2020-01-01,2025-07-10
BTDR,2020-01-01,2025-07-10
BTE,2020-01-01,2025-07-10
BTEFX,2020-01-01,2025-07-10
BTEKX,2020-01-01,2025-07-10
BTG,2020-01-01,2025-07-10
BTI,2020-01-01,2025-07-10
BTIEX,2020-01-01,2025-07-10
BTIIX,2020-01-01,2025-07-10
BTIRX,2020-01-01,2025-07-10
BTMFX,2020-01-01,2025-07-10
BTMKX,2020-01-01,2025-07-10
BTMPX,2020-01-01,2025-07-10
BTSG,2020-01-01,2025-07-10
BTSMX,2020-01-01,2025-07-10
BTTRX,2020-01-01,2025-07-10
BUFDX,2020-01-01,2025-07-10
BUFHX,2020-01-01,2025-07-10
BUFIX,2020-01-01,2025-07-10
BUFOX,2020-01-01,2025-07-10
BUIDX,2020-01-01,2025-07-10
BUIHX,2020-01-01,2025-07-10
BUIIX,2020-01-01,2025-07-10
BUIOX,2020-01-01,2025-07-10
BVALX,2020-01-01,2025-07-10
BW,2020-01-01,2025-07-10
BWA,2020-01-01,2025-07-10
BWBFX,2020-01-01,2025-07-10
BWBIX,2020-01-01,2025-07-10
BWBTX,2020-01-01,2025-07-10
BWMX,2020-01-01,2025-07-10
BX,2020-01-01,2025-07-10
BXP,2020-01-01,2025-07-10
BYON,2020-01-01,2025-07-10
C,2020-01-01,2025-07-10
CAAP,2020-01-01,2025-07-10
CADOX,2020-01-01,2025-07-10
CADPX,2020-01-01,2025-07-10
CAG,2020-01-01,2025-07-10
CAH,2020-01-01,2025-07-10
CAKE,2020-01-01,2025-07-10
CALRX,2020-01-01,2025-07-10
CAMLX,2020-01-01,2025-07-10
CAMMX,2020-01-01,2025-07-10
CAMOX,2020-01-01,2025-07-10
CAMRX,2020-01-01,2025-07-10
CAMT,2020-01-01,2025-07-10
CAMUX,2020-01-01,2025-07-10
CAMWX,2020-01-01,2025-07-10
CAT,2020-01-01,2025-07-10
CATO,2020-01-01,2025-07-10
CB,2020-01-01,2025-07-10
CBALX,2020-01-01,2025-07-10
CBDRX,2020-01-01,2025-07-10
CBDYX,2020-01-01,2025-07-10
CBFYX,2020-01-01,2025-07-10
CBLAX,2020-01-01,2025-07-10
CBLCX,2020-01-01,2025-07-10
CBLRX,2020-01-01,2025-07-10
CBOE,2020-01-01,2025-07-10
CBT,2020-01-01,2025-07-10
CCERX,2020-01-01,2025-07-10
CCGIX,2020-01-01,2025-07-10
CCGSX,2020-01-01,2025-07-10
CCHIX,2020-01-01,2025-07-10
CCHRX,2020-01-01,2025-07-10
CCI,2020-01-01,2025-07-10
CCIZX,2020-01-01,2025-07-10
CCL,2020-01-01,2025-07-10
CCO,2020-01-01,2025-07-10
CCOYX,2020-01-01,2025-07-10
CCRIX,2020-01-01,2025-07-10
CCSI,2020-01-01,2025-07-10
CCVAX,2020-01-01,2025-07-10
CCWIX,2020-01-01,2025-07-10
CCWSX,2020-01-01,2025-07-10
CDE,2020-01-01,2025-07-10
CDHAX,2020-01-01,2025-07-10
CDHIX,2020-01-01,2025-07-10
CDHRX,2020-01-01,2025-07-10
CDICX,2020-01-01,2025-07-10
CDNS,2020-01-01,2025-07-10
CDRE,2020-01-01,2025-07-10
CDSIX,2020-01-01,2025-07-10
CDSRX,2020-01-01,2025-07-10
CDWHF,2020-01-01,2025-07-10
CDXS,2020-01-01,2025-07-10
CE,2020-01-01,2025-07-10
CECFX,2020-01-01,2025-07-10
CECYX,2020-01-01,2025-07-10
CEE,2020-01-01,2025-07-10
CELH,2020-01-01,2025-07-10
CEPU,2020-01-01,2025-07-10
CERPX,2020-01-01,2025-07-10
CEYIX,2020-01-01,2025-07-10
CEYRX,2020-01-01,2025-07-10
CF,2020-01-01,2025-07-10
CFAGX,2020-01-01,2025-07-10
CFG,2020-01-01,2025-07-10
CFGRX,2020-01-01,2025-07-10
CFLRX,2020-01-01,2025-07-10
CFLT,2020-01-01,2025-07-10
CFMDX,2020-01-01,2025-07-10
CFRYX,2020-01-01,2025-07-10
CFRZX,2020-01-01,2025-07-10
CGBD,2020-01-01,2025-07-10
CGEZX,2020-01-01,2025-07-10
CGIIX,2020-01-01,2025-07-10
CGIOX,2020-01-01,2025-07-10
CGOAX,2020-01-01,2025-07-10
CGOCX,2020-01-01,2025-07-10
CGOLX,2020-01-01,2025-07-10
CGQFX,2020-01-01,2025-07-10
CGQYX,2020-01-01,2025-07-10
CGTUX,2020-01-01,2025-07-10
CGTYX,2020-01-01,2025-07-10
CGVBX,2020-01-01,2025-07-10
CGVEX,2020-01-01,2025-07-10
CGVFX,2020-01-01,2025-07-10
CGVGX,2020-01-01,2025-07-10
CGVHX,2020-01-01,2025-07-10
CGVYX,2020-01-01,2025-07-10
CHD,2020-01-01,2025-07-10
CHEF,2020-01-01,2025-07-10
CHHRX,2020-01-01,2025-07-10
CHRW,2020-01-01,2025-07-10
CHTR,2020-01-01,2025-07-10
CHX,2020-01-01,2025-07-10
CI,2020-01-01,2025-07-10
CIA,2020-01-01,2025-07-10
CIESX,2020-01-01,2025-07-10
CIG,2020-01-01,2025-07-10
CIMDX,2020-01-01,2025-07-10
CINF,2020-01-01,2025-07-10
CIPIX,2020-01-01,2025-07-10
CIPMX,2020-01-01,2025-07-10
CISIX,2020-01-01,2025-07-10
CITAX,2020-01-01,2025-07-10
CITCX,2020-01-01,2025-07-10
CITEX,2020-01-01,2025-07-10
CITFX,2020-01-01,2025-07-10
CIVAX,2020-01-01,2025-07-10
CIVBX,2020-01-01,2025-07-10
CIVCX,2020-01-01,2025-07-10
CIVGX,2020-01-01,2025-07-10
CIVHX,2020-01-01,2025-07-10
CIVIX,2020-01-01,2025-07-10
CIVKX,2020-01-01,2025-07-10
CIVVX,2020-01-01,2025-07-10
CL,2020-01-01,2025-07-10
CLAIX,2020-01-01,2025-07-10
CLCRX,2020-01-01,2025-07-10
CLDAX,2020-01-01,2025-07-10
CLDIX,2020-01-01,2025-07-10
CLEYX,2020-01-01,2025-07-10
CLF,2020-01-01,2025-07-10
CLFFX,2020-01-01,2025-07-10
CLIFX,2020-01-01,2025-07-10
CLIQX,2020-01-01,2025-07-10
CLMT,2020-01-01,2025-07-10
CLONX,2020-01-01,2025-07-10
CLPYX,2020-01-01,2025-07-10
CLQZX,2020-01-01,2025-07-10
CLREX,2020-01-01,2025-07-10
CLS,2020-01-01,2025-07-10
CLSCX,2020-01-01,2025-07-10
CLSK,2020-01-01,2025-07-10
CLSRX,2020-01-01,2025-07-10
CLSYX,2020-01-01,2025-07-10
CLTAX,2020-01-01,2025-07-10
CLTIX,2020-01-01,2025-07-10
CLVT,2020-01-01,2025-07-10
CLX,2020-01-01,2025-07-10
CLXRX,2020-01-01,2025-07-10
CMA,2020-01-01,2025-07-10
CMAAX,2020-01-01,2025-07-10
CMACX,2020-01-01,2025-07-10
CMAX,2020-01-01,2025-07-10
CMCM,2020-01-01,2025-07-10
CMCRX,2020-01-01,2025-07-10
CMCSA,2020-01-01,2025-07-10
CME,2020-01-01,2025-07-10
CMG,2020-01-01,2025-07-10
CMI,2020-01-01,2025-07-10
CMIDX,2020-01-01,2025-07-10
CMJAX,2020-01-01,2025-07-10
CMJIX,2020-01-01,2025-07-10
CMLIX,2020-01-01,2025-07-10
CMNRX,2020-01-01,2025-07-10
CMNYX,2020-01-01,2025-07-10
CMNZX,2020-01-01,2025-07-10
CMP,2020-01-01,2025-07-10
CMS,2020-01-01,2025-07-10
CMSCX,2020-01-01,2025-07-10
CMTFX,2020-01-01,2025-07-10
CNC,2020-01-01,2025-07-10
CNDAX,2020-01-01,2025-07-10
CNDRX,2020-01-01,2025-07-10
CNFRX,2020-01-01,2025-07-10
CNH,2020-01-01,2025-07-10
CNNE,2020-01-01,2025-07-10
CNO,2020-01-01,2025-07-10
CNP,2020-01-01,2025-07-10
CNPIX,2020-01-01,2025-07-10
CNPSX,2020-01-01,2025-07-10
CNQ,2020-01-01,2025-07-10
COAGX,2020-01-01,2025-07-10
COBYX,2020-01-01,2025-07-10
COCO,2020-01-01,2025-07-10
COF,2020-01-01,2025-07-10
COHU,2020-01-01,2025-07-10
COIN,2020-01-01,2025-07-10
COMM,2020-01-01,2025-07-10
COO,2020-01-01,2025-07-10
COP,2020-01-01,2025-07-10
COSIX,2020-01-01,2025-07-10
COST,2020-01-01,2025-07-10
COTY,2020-01-01,2025-07-10
COTZX,2020-01-01,2025-07-10
CPB,2020-01-01,2025-07-10
CPCLX,2020-01-01,2025-07-10
CPHUX,2020-01-01,2025-07-10
CPHYX,2020-01-01,2025-07-10
CPIX,2020-01-01,2025-07-10
CPLIX,2020-01-01,2025-07-10
CPLSX,2020-01-01,2025-07-10
CPMPX,2020-01-01,2025-07-10
CPNG,2020-01-01,2025-07-10
CQTRX,2020-01-01,2025-07-10
CRBG,2020-01-01,2025-07-10
CRCT,2020-01-01,2025-07-10
CRDO,2020-01-01,2025-07-10
CRIMX,2020-01-01,2025-07-10
CRM,2020-01-01,2025-07-10
CRMMX,2020-01-01,2025-07-10
CRNC,2020-01-01,2025-07-10
CRSR,2020-01-01,2025-07-10
CRWD,2020-01-01,2025-07-10
CSCCX,2020-01-01,2025-07-10
CSCO,2020-01-01,2025-07-10
CSCRX,2020-01-01,2025-07-10
CSCZX,2020-01-01,2025-07-10
CSDAX,2020-01-01,2025-07-10
CSECX,2020-01-01,2025-07-10
CSERX,2020-01-01,2025-07-10
CSEYX,2020-01-01,2025-07-10
CSGVX,2020-01-01,2025-07-10
CSGYX,2020-01-01,2025-07-10
CSGZX,2020-01-01,2025-07-10
CSIEX,2020-01-01,2025-07-10
CSJAX,2020-01-01,2025-07-10
CSJCX,2020-01-01,2025-07-10
CSJIX,2020-01-01,2025-07-10
CSJRX,2020-01-01,2025-07-10
CSJZX,2020-01-01,2025-07-10
CSMCX,2020-01-01,2025-07-10
CSMIX,2020-01-01,2025-07-10
CSMVX,2020-01-01,2025-07-10
CSNRX,2020-01-01,2025-07-10
CSRIX,2020-01-01,2025-07-10
CSRSX,2020-01-01,2025-07-10
CSRYX,2020-01-01,2025-07-10
CSSCX,2020-01-01,2025-07-10
CSVAX,2020-01-01,2025-07-10
CSVFX,2020-01-01,2025-07-10
CSVIX,2020-01-01,2025-07-10
CSVRX,2020-01-01,2025-07-10
CSVYX,2020-01-01,2025-07-10
CSVZX,2020-01-01,2025-07-10
CSX,2020-01-01,2025-07-10
CSXAX,2020-01-01,2025-07-10
CSXCX,2020-01-01,2025-07-10
CSXRX,2020-01-01,2025-07-10
CTAS,2020-01-01,2025-07-10
CTCAX,2020-01-01,2025-07-10
CTFAX,2020-01-01,2025-07-10
CTFDX,2020-01-01,2025-07-10
CTHCX,2020-01-01,2025-07-10
CTHRX,2020-01-01,2025-07-10
CTIVX,2020-01-01,2025-07-10
CTKB,2020-01-01,2025-07-10
CTM,2020-01-01,2025-07-10
CTORX,2020-01-01,2025-07-10
CTRA,2020-01-01,2025-07-10
CTSH,2020-01-01,2025-07-10
CTYRX,2020-01-01,2025-07-10
CUBI,2020-01-01,2025-07-10
CUBI-PE,2020-01-01,2025-07-10
CUBI-PF,2020-01-01,2025-07-10
CUURX,2020-01-01,2025-07-10
CVE,2020-01-01,2025-07-10
CVMAX,2020-01-01,2025-07-10
CVMCX,2020-01-01,2025-07-10
CVMIX,2020-01-01,2025-07-10
CVMRX,2020-01-01,2025-07-10
CVS,2020-01-01,2025-07-10
CVTCX,2020-01-01,2025-07-10
CVTRX,2020-01-01,2025-07-10
CVVRX,2020-01-01,2025-07-10
CVX,2020-01-01,2025-07-10
CWCFX,2020-01-01,2025-07-10
CWCO,2020-01-01,2025-07-10
CWS,2020-01-01,2025-07-10
CWVCX,2020-01-01,2025-07-10
CWVGX,2020-01-01,2025-07-10
CWVIX,2020-01-01,2025-07-10
CYD,2020-01-01,2025-07-10
CYPIX,2020-01-01,2025-07-10
CYPSX,2020-01-01,2025-07-10
CYYYX,2020-01-01,2025-07-10
D,2020-01-01,2025-07-10
DADGX,2020-01-01,2025-07-10
DAHYX,2020-01-01,2025-07-10
DAINX,2020-01-01,2025-07-10
DAKT,2020-01-01,2025-07-10
DAL,2020-01-01,2025-07-10
DBD,2020-01-01,2025-07-10
DBX,2020-01-01,2025-07-10
DCHYX,2020-01-01,2025-07-10
DCINX,2020-01-01,2025-07-10
DD,2020-01-01,2025-07-10
DDD,2020-01-01,2025-07-10
DDI,2020-01-01,2025-07-10
DDM,2020-01-01,2025-07-10
DE,2020-01-01,2025-07-10
DELL,2020-01-01,2025-07-10
DEOPX,2020-01-01,2025-07-10
DFDSX,2020-01-01,2025-07-10
DFIN,2020-01-01,2025-07-10
